ASA5506,ASA5520,ASA5506,ASA5506W,ASA5506H,ASA5508,ASA5512,ASA5515,ASA5516,ASA5525,ASA5545,ASA5555,ASA5585-SSP-10,ASA5585-SSP-20,ASA5585-SSP-40,ASA5585-SSP-60
250 Mbps,250 Mbps,250 Mbps,250 Mbps,450 Mbps,300 Mbps,500 Mbps,850 Mbps,1100 Mbps,1500 Mbps,1750 Mbps,4.5 Gbps,7 Gbps,10 Gbps,15 Gbps
5000,5000,5000,5000,10000,10000,15000,20000,20000,30000,50000,40000,75000,120000,160000,
